n 31, MFlop/sec = 14386.2
n 32, MFlop/sec = 17261.1
n 33, MFlop/sec = 15539.7
n 63, MFlop/sec = 29372.4
n 64, MFlop/sec = 33459.4
n 65, MFlop/sec = 30903.4
n 95, MFlop/sec = 31472.6
n 96, MFlop/sec = 38508.2
n 97, MFlop/sec = 35962.5
n 127, MFlop/sec = 34932.3
n 128, MFlop/sec = 46754
n 129, MFlop/sec = 43139.8
n 191, MFlop/sec = 48178
n 192, MFlop/sec = 53409.1
n 229, MFlop/sec = 41667.7
n 255, MFlop/sec = 50894.5
n 256, MFlop/sec = 48661.1
n 257, MFlop/sec = 57194.1
n 319, MFlop/sec = 59575
n 320, MFlop/sec = 60576.3
n 321, MFlop/sec = 59275.9
n 417, MFlop/sec = 46604
n 479, MFlop/sec = 61208.3
n 480, MFlop/sec = 64919.6
n 511, MFlop/sec = 62781.9
n 512, MFlop/sec = 63237.1
n 513, MFlop/sec = 61652.1
