n 31, MFlop/sec = 587.834
n 32, MFlop/sec = 726.616
n 33, MFlop/sec = 788.458
n 63, MFlop/sec = 830.864
n 64, MFlop/sec = 743.912
n 65, MFlop/sec = 829.672
n 95, MFlop/sec = 797.322
n 96, MFlop/sec = 761.825
n 97, MFlop/sec = 800.862
n 127, MFlop/sec = 663.68
n 128, MFlop/sec = 649.71
n 129, MFlop/sec = 772.929
n 191, MFlop/sec = 670.452
n 192, MFlop/sec = 616.999
n 229, MFlop/sec = 636.588
n 255, MFlop/sec = 623.474
n 256, MFlop/sec = 418.362
n 257, MFlop/sec = 637.329
n 319, MFlop/sec = 606.998
n 320, MFlop/sec = 450.362
n 321, MFlop/sec = 482.12
n 417, MFlop/sec = 535.436
n 479, MFlop/sec = 379.57
n 480, MFlop/sec = 532.403
n 511, MFlop/sec = 308.028
n 512, MFlop/sec = 191.449
n 513, MFlop/sec = 243.812
