n 31, MFlop/sec = 793.386
n 32, MFlop/sec = 745.99
n 33, MFlop/sec = 682.053
n 63, MFlop/sec = 833.438
n 64, MFlop/sec = 800.084
n 65, MFlop/sec = 830.729
n 95, MFlop/sec = 800.397
n 96, MFlop/sec = 701.2
n 97, MFlop/sec = 765.211
n 127, MFlop/sec = 786.298
n 128, MFlop/sec = 632.948
n 129, MFlop/sec = 654.282
n 191, MFlop/sec = 668.275
n 192, MFlop/sec = 585.002
n 229, MFlop/sec = 629.667
n 255, MFlop/sec = 634.189
n 256, MFlop/sec = 421.618
n 257, MFlop/sec = 605.574
n 319, MFlop/sec = 598.432
n 320, MFlop/sec = 569.552
n 321, MFlop/sec = 588.923
n 417, MFlop/sec = 580.47
n 479, MFlop/sec = 561.722
n 480, MFlop/sec = 545.685
n 511, MFlop/sec = 526.532
n 512, MFlop/sec = 200.522
n 513, MFlop/sec = 544.929
